Year,Philippines,SEA_Avg,Dev_Avg,Gap_vs_SEA,Gap_vs_Developed
1988,41.0,26.7,0.5249999999999999,14.3,40.475
1994,38.8,9.2,0.5833333333333334,29.599999999999998,38.21666666666666
1997,30.7,33.93333333333334,0.4125,-3.233333333333338,30.287499999999998
2000,25.9,37.050000000000004,0.3071428571428572,-11.150000000000006,25.59285714285714
2003,24.3,24.35,0.4571428571428572,-0.05000000000000071,23.842857142857145
2006,26.1,18.6,0.29333333333333333,7.5,25.80666666666667
2009,22.0,19.349999999999998,0.41875,2.650000000000002,21.58125
2012,21.3,13.1,0.46249999999999997,8.200000000000001,20.837500000000002
2015,14.6,10.000000000000002,0.475,4.599999999999998,14.125
2018,8.3,6.1,0.48235294117647054,2.200000000000001,7.81764705882353
2021,8.1,2.8666666666666667,0.32142857142857145,5.2333333333333325,7.7785714285714285
2023,5.3,3.35,0.52,1.9499999999999997,4.779999999999999
